arm,k,stored_layers,executed_layers,params_total,params_embedding,params_layers,params_per_layer,weight_bytes,kv_bytes_per_token,flops_ratio,params_ratio
baseline,-,16,16,1484916736,679477248,805439488,50339968,2969833472,131072,1.0,1.0
etd,1,16,16,1484916736,679477248,805439488,50339968,2969833472,131072,1.0,1.0
dense,-,16,16,1484916736,679477248,805439488,50339968,2969833472,131072,1.0,1.0
etd,2,16,20,1484916736,679477248,805439488,50339968,2969833472,163840,1.25,1.0
dense,-,20,20,1753384960,746586112,1006798848,50339942,3506769920,163840,1.25,1.1808
etd,3,16,24,1484916736,679477248,805439488,50339968,2969833472,196608,1.5,1.0
dense,-,24,24,2021853184,813694976,1208158208,50339925,4043706368,196608,1.5,1.3616
etd,4,16,28,1484916736,679477248,805439488,50339968,2969833472,229376,1.75,1.0
dense,-,28,28,2290321408,880803840,1409517568,50339913,4580642816,229376,1.75,1.5424
etd,5,16,32,1484916736,679477248,805439488,50339968,2969833472,262144,2.0,1.0
dense,-,32,32,2558789632,947912704,1610876928,50339904,5117579264,262144,2.0,1.7232
etd,8,16,44,1484916736,679477248,805439488,50339968,2969833472,360448,2.75,1.0
dense,-,44,44,3364194304,1149239296,2214955008,50339886,6728388608,360448,2.75,2.2656
