arm,k,stored_layers,executed_layers,params_total,params_embedding,params_layers,params_per_layer,weight_bytes,kv_bytes_per_token,flops_ratio,params_ratio
baseline,-,8,8,362560,98304,264256,33032,1450240,4096,1.0,1.0
etd,1,8,8,362560,98304,264256,33032,1450240,4096,1.0,1.0
dense,-,8,8,362560,98304,264256,33032,1450240,4096,1.0,1.0
etd,2,8,10,362560,98304,264256,33032,1450240,5120,1.25,1.0
dense,-,10,10,444992,114688,330304,33030,1779968,5120,1.25,1.2274
etd,3,8,12,362560,98304,264256,33032,1450240,6144,1.5,1.0
dense,-,12,12,527424,131072,396352,33029,2109696,6144,1.5,1.4547
etd,4,8,14,362560,98304,264256,33032,1450240,7168,1.75,1.0
dense,-,14,14,609856,147456,462400,33028,2439424,7168,1.75,1.6821
etd,5,8,16,362560,98304,264256,33032,1450240,8192,2.0,1.0
dense,-,16,16,692288,163840,528448,33028,2769152,8192,2.0,1.9094
etd,8,8,22,362560,98304,264256,33032,1450240,11264,2.75,1.0
dense,-,22,22,939584,212992,726592,33026,3758336,11264,2.75,2.5915
