arm,k,depth,batch,seq,gen,weight_bytes,oom,kv_predicted_bytes,kv_measured_over_predicted,t_decode_s,latency_ms_per_token,throughput_tok_s,peak_bytes,kv_after_prefill_bytes,kv_final_bytes
etd,2,20,8,4096,128,2969833472,False,5557452800,1.0,17.18353463988751,134.24636437412119,59.59193038334652,15442099200,5368709120,5557452800
dense,4,28,8,4096,128,4580642816,False,7780433920,1.0,24.02719090040773,187.7124289094354,42.61838199248765,21498412032,7516192768,7780433920
dense,3,24,8,4096,128,4043706368,False,6668943360,1.0,20.6240715701133,161.12555914151017,49.65071986483484,18738732032,6442450944,6668943360
etd,8,44,8,4096,128,2969833472,False,12226396160,1.0,37.75500253029168,294.9609572679037,27.122233647803945,28778462208,11811160064,12226396160
dense,5,32,8,4096,128,5117579264,False,8891924480,1.0,27.469742700457573,214.6073648473248,37.27737864770546,24259139584,8589934592,8891924480
etd,3,24,8,4096,128,2969833472,False,6668943360,1.0,20.63786249049008,161.23330070695374,49.61754156816671,17664826368,6442450944,6668943360
etd,4,28,8,4096,128,2969833472,False,7780433920,1.0,24.058141369372606,187.9542294482235,42.563554028475814,19887553536,7516192768,7780433920
dense,2,20,8,4096,128,3506769920,False,5557452800,1.0,17.206303330138326,134.42424476670567,59.51307380513138,15980099584,5368709120,5557452800
etd,5,32,8,4096,128,2969833472,False,8891924480,1.0,27.48196451086551,214.7028477411368,37.26080060961954,22110280704,8589934592,8891924480
etd,1,16,8,4096,128,2969833472,False,4445962240,1.0,13.798125280067325,107.79785375052597,74.21298032996289,13219372032,4294967296,4445962240
dense,8,44,8,4096,128,6728388608,False,12226396160,1.0,37.7459200900048,294.8900007031625,27.128759811875863,32539227136,11811160064,12226396160
dense,1,16,8,4096,128,2969833472,False,4445962240,1.0,13.791183120571077,107.74361812946154,74.25033741105146,13219372032,4294967296,4445962240
